Id,Weekly_Sales
1_1_2012-11-02,28767.19650000001
1_1_2012-11-09,22546.670200000004
1_1_2012-11-16,22191.71430000001
1_1_2012-11-23,22224.76510000001
1_1_2012-11-30,23604.43760000001
1_1_2012-12-07,37677.559299999986
1_1_2012-12-14,34642.312600000005
1_1_2012-12-21,49601.4057
1_1_2012-12-28,22237.38739999999
1_1_2013-01-04,20874.245799999982
1_1_2013-01-11,18891.56649999997
1_1_2013-01-18,19211.29729999999
1_1_2013-01-25,18563.613399999984
1_1_2013-02-01,34609.76420000005
1_1_2013-02-08,34890.10780000007
1_1_2013-02-15,27752.737000000034
1_1_2013-02-22,26714.389200000023
1_1_2013-03-01,24918.996899999984
1_1_2013-03-08,23098.847799999992
1_1_2013-03-15,22623.572499999973
1_1_2013-03-22,30894.249599999996
1_1_2013-03-29,24983.952899999982
1_1_2013-04-05,30068.605499999998
1_1_2013-04-12,39728.19610000003
1_1_2013-04-19,24449.504000000004
1_1_2013-04-26,23450.916800000017
1_1_2013-05-03,20070.990700000002
1_1_2013-05-10,24272.017499999987
1_1_2013-05-17,38469.54250000001
1_1_2013-05-24,26356.766600000035
1_1_2013-05-31,18891.401500000025
1_1_2013-06-07,23392.39100000004
1_1_2013-06-14,30771.62600000007
1_1_2013-06-21,29758.512499999997
1_1_2013-06-28,26673.35210000003
1_1_2013-07-05,26913.561899999993
1_1_2013-07-12,22752.900300000016
1_1_2013-07-19,21663.85520000001
1_1_2013-07-26,16455.0115
1_2_2012-11-02,47936.87180000004
1_2_2012-11-09,47755.319700000015
1_2_2012-11-16,45422.44780000001
1_2_2012-11-23,43609.41039999997
1_2_2012-11-30,47776.973099999996
1_2_2012-12-07,50813.22299999997
1_2_2012-12-14,54125.2071
1_2_2012-12-21,55770.10579999999
1_2_2012-12-28,42767.45780000002
1_2_2013-01-04,42966.22009999996
1_2_2013-01-11,44101.14029999998
1_2_2013-01-18,44275.08839999995
1_2_2013-01-25,43353.0728
1_2_2013-02-01,49756.41020000002
1_2_2013-02-08,52259.559600000015
1_2_2013-02-15,50963.57630000001
1_2_2013-02-22,51154.414899999996
1_2_2013-03-01,48186.060600000026
1_2_2013-03-08,44622.78279999995
1_2_2013-03-15,46524.51550000002
1_2_2013-03-22,49039.322199999995
1_2_2013-03-29,47733.36029999999
1_2_2013-04-05,48610.01370000002
1_2_2013-04-12,46122.779799999975
1_2_2013-04-19,46457.65329999995
1_2_2013-04-26,47216.54580000003
1_2_2013-05-03,46783.68679999998
1_2_2013-05-10,47372.433799999955
1_2_2013-05-17,51322.12349999994
1_2_2013-05-24,48534.49119999996
1_2_2013-05-31,46837.149399999995
1_2_2013-06-07,46602.060099999995
1_2_2013-06-14,50061.41159999996
1_2_2013-06-21,49229.69979999995
1_2_2013-06-28,47973.37499999996
1_2_2013-07-05,47973.55509999999
1_2_2013-07-12,45537.493500000026
1_2_2013-07-19,47827.21910000001
1_2_2013-07-26,45025.13019999999
1_3_2012-11-02,9821.048699999998
1_3_2012-11-09,10181.241800000003
1_3_2012-11-16,10287.2832
1_3_2012-11-23,9371.572100000001
1_3_2012-11-30,10477.704999999994
1_3_2012-12-07,11764.228800000008
1_3_2012-12-14,12273.6907
1_3_2012-12-21,12639.87210000001
1_3_2012-12-28,8667.327799999992
1_3_2013-01-04,12849.513000000008
1_3_2013-01-11,13636.422500000004
1_3_2013-01-18,12633.752300000004
1_3_2013-01-25,11560.220800000008
1_3_2013-02-01,11465.0712
1_3_2013-02-08,12222.268200000013
1_3_2013-02-15,11977.40290000001
1_3_2013-02-22,11943.986300000011
1_3_2013-03-01,11870.239099999997
1_3_2013-03-08,11584.523399999996
1_3_2013-03-15,10044.505599999997
1_3_2013-03-22,9930.516399999995
1_3_2013-03-29,11363.395600000003
1_3_2013-04-05,10362.519199999992
1_3_2013-04-12,10109.888599999991
1_3_2013-04-19,9059.087699999985
1_3_2013-04-26,9279.735099999982
1_3_2013-05-03,8627.864100000003
1_3_2013-05-10,10059.31360000001
1_3_2013-05-17,9179.638100000004
1_3_2013-05-24,8162.296599999991
1_3_2013-05-31,8208.15169999999
1_3_2013-06-07,8061.371700000001
1_3_2013-06-14,8044.8552
1_3_2013-06-21,8963.870600000006
1_3_2013-06-28,7704.229400000007
1_3_2013-07-05,8380.82410000001
1_3_2013-07-12,13553.359200000023
1_3_2013-07-19,8615.829800000005
1_3_2013-07-26,16272.78289999997
1_4_2012-11-02,38549.0251
1_4_2012-11-09,37869.89500000002
1_4_2012-11-16,37554.849
1_4_2012-11-23,45492.4811
1_4_2012-11-30,39098.7618
1_4_2012-12-07,41235.48380000001
1_4_2012-12-14,40793.98149999998
1_4_2012-12-21,42568.65160000005
1_4_2012-12-28,37850.9774
1_4_2013-01-04,37334.425199999954
1_4_2013-01-11,37783.32579999997
1_4_2013-01-18,34877.8397
1_4_2013-01-25,34027.156400000036
1_4_2013-02-01,37500.43749999998
1_4_2013-02-08,39662.7959
1_4_2013-02-15,38721.12920000001
1_4_2013-02-22,39025.12440000001
1_4_2013-03-01,38179.27459999998
1_4_2013-03-08,36761.03029999998
1_4_2013-03-15,37640.08279999996
1_4_2013-03-22,38208.21439999995
1_4_2013-03-29,37842.68089999999
1_4_2013-04-05,38503.526399999995
1_4_2013-04-12,36956.6487
1_4_2013-04-19,36385.20549999998
1_4_2013-04-26,36201.16589999999
1_4_2013-05-03,36496.976299999995
1_4_2013-05-10,38301.047899999976
1_4_2013-05-17,40337.130599999975
1_4_2013-05-24,39153.367299999954
1_4_2013-05-31,37380.66160000003
1_4_2013-06-07,38705.37119999999
1_4_2013-06-14,39423.69999999996
1_4_2013-06-21,40686.312199999964
1_4_2013-06-28,39604.30759999997
1_4_2013-07-05,39281.779299999966
1_4_2013-07-12,37675.47709999998
1_4_2013-07-19,39482.15400000001
1_4_2013-07-26,37704.71180000003
1_5_2012-11-02,30072.049199999965
1_5_2012-11-09,30230.753199999985
1_5_2012-11-16,28469.021999999994
1_5_2012-11-23,73869.31840000008
1_5_2012-11-30,28159.377600000007
1_5_2012-12-07,49102.91679999995
1_5_2012-12-14,42854.06169999996
1_5_2012-12-21,64797.262800000004
1_5_2012-12-28,34260.86369999994
1_5_2013-01-04,22665.75830000002
1_5_2013-01-11,21865.376400000016
1_5_2013-01-18,21705.418599999986
