,PMID/PMCID,Publisher,Journal title,Article title,Cost
0,NA,CUP,psychological medicine,Reduced parahippocampal cortical thickness in subjects at ultra-high risk for psychosis,0.0
1,3679557,ACS,biomacromolecules,Structural characterization of a Model Gram-negative bacterial surface using lipopolysaccharides from rough strains of escherichia coli,2381.04
2,23043264/3506128,ACS,journal of medicinal chemistry,"Fumaroylamino-4,5-epoxymorphinans and related opioids with irreversible ? opioid receptor antagonist effects.",642.56
3,23438330/3646402,ACS,journal of medicinal chemistry,Orvinols with mixed kappa/mu opioid receptor agonist activity.,669.64
4,23438216/3601604,ACS,journal of organic chemistry,Regioselective opening of myo-inositol orthoesters: mechanism and synthetic utility.,685.88
5,3579457,ACS,journal of medicinal chemistry,Comparative Structural and Functional Studies of 4-(Thiazol-5-yl)-2-(phenylamino) pyrimidine-5-carbonitrile CDK9 inhibitors suggest the basis for Isotype Slectivity,2392.2
6,3709265,ACS,journal of proteome research,"Mapping Proteolytic Processing in the Secretome of Gastric Cancer-Associated Myofibroblasts Reveals Activation of MMP-1, MMP-2, and MMP?3",2367.95
7,23057412/3495574,ACS,mol pharm,Quantitative silencing of EGFP reporter gene by self-assembled siRNA lipoplexes of LinOS and cholesterol.,649.33
8,3780468,ACS (Amercian Chemical Society) Publications,acs chemical biology,A Novel Allosteric Inhibitor of the Uridine Diphosphate N-Acetylglucosamine Pyrophosphorylase from Trypanosoma brucei.,1294.59
9,3621575,ACS (Amercian Chemical Society) Publications,acs chemical biology,Chemical proteomic analysis reveals the drugability of the kinome of Trypanosoma brucei.,1294.78
10,3739413,ACS (Amercian Chemical Society) Publications,journal of chemical information and modeling,Locating Sweet Spots for Screening Hits and Evaluating Pan-Assay Interference Filters from the Performance Analysis of Two Lead-like Libraries,1329.69
11,3530961,ACS (Amercian Chemical Society) Publications,journal of medicinal chemistry,Synthesis and evaluation of ?-thymidine analogues as novel antimalarials.,1287.2
12,3624797,ACS (Amercian Chemical Society) Publications,journal of medicinal chemistry,Discovery and structure-activity relationships of pyrrolone antimalarials.,1324.66
13,3413243,ACS Publications,biochemistry,Monomeric 14-3-3 has a chaperone-like activity and is stabilized by phosphorylated HSpB6,665.64
14,3694353,ACS Publications,journal of medicinal chemistry,Synthesis and in vitro and in vivo characterization of highly ?1-selective ?-adrenoceptor partial agonists.,1006.72
15,3572711,AGA Institute,gastroenterology,Much of the genetic risk of colorectal cancer is likely to be mediated through susceptibility to adenomas,238.08
16,22610094,AMBSB,journal of biological chemistry,Annexin-1 interaction with FPR2/ALX,265.67
17,3586974,American Association of Immunologists,journal of immunology,Sialoadhesin ligand expression identifies a subset of CD4+Foxp3- T cells with a distinct activation and glycosylation profile.,2035.0
18,23455506/3607399,American Association of Immunologists,journal of immunology,Regulation of Foxp3+ Inducible Regulatory T Cell Stability by SOCS2,3108.08
19,24015914/3833349,American Chemical Society,acs chemical biology,Discovery of an allosteric inhibitor binding site in 3-oxo-acyl-ACP reductase from Pseudomonas aeruginosa,1267.76
20,3805332,American Chemical Society,acs chemical biology,Synthesis of alpha-glucan in mycobacteria involves a hetero-octameric complex of trehalose synthase TreS and maltokinase Pep2,2286.73
21,NA,American Chemical Society,acs chemical biology,Discovery of ?2 Adrenergic Receptor Ligands Using Biosensor Fragment Screening of Tagged Wild-Type Receptor,947.07
22,3656742,American Chemical Society,acs chemical neuroscience,Continuous online microdialysis using microfluidic sensors: dynamic neuro-metabolic changes during spreading depolarisation,1186.8
23,3584654,AMERICAN CHEMICAL SOCIETY,acs nano,HYDROXY-TERMINATED CONJUGATED POLYMER NANOPARTICLES HAVE NEAR-UNITY BRIGHT FRACTION,642.89
24,22971149/3466778,American Chemical Society,american chemical society,Characterizing the Fatty Acid Binding Site in the Cavity of Potassium Channel KcsA,1533.29
25,23072351,American Chemical Society,analytical chemistry,Amphipathic polymers facilitate the study of functional membrane in the gas phase,2082.74
26,3477822,American Chemical Society,analytical chemistry,Quantitative dynamics of phosphorproteome: the devil is in the details,2314.1
27,3530960,American Chemical Society,analytical chemistry,Variable-Pitch Rectangular Cross-section Radiofrequency Coils for the Nitrogen-14 Nuclear Quadrupole Resonance Investigation of Sealed Medicines Packets,759.67
28,23458425/3630740,American Chemical Society,bioconjugate chemistry,"Design, synthesis and functional activity of labelled CD'ld glycoupid agonists",1565.26
29,20146481,American Chemical Society,journal of medicinal chemistry,Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives,572.74
30,3504484,American Chemical Society,journal of medicinal chemistry,"Design, synthesis and structure-activity relationships of highly potent 5-HT3 receptor ligands",750.66
31,23281892/3579312,American Chemical Society,journal of medicinal chemistry,A class of 5-nitro-2-furancarboxylamides with potent trypanocidal activity against Trypanosoma brucei in vitro,321.12
32,3411196,American Chemical Society,journal of proteome research,Proteomic analysis of extracellular matrix from the hepatic stellate cell line LX-2 identifies CYR61 and Wnt-5a as novel constituents of fibrotic liver,1321.88
33,3593610,American Chemical Society,journal of the american chemical society,Chemical and structural analysis of an antibody folding intermediate trapped during glycan biosynthesis,1626.14
34,23373658,American Chemical Society Publications,acs nano,"Skin dendritic cell targeting via microneedle arrays laden with antigen-encapsulated poly-D,L-lactide-co-glycolide nanoparticles induces efficient antitumor and antiviral immune responses.",693.39
35,3673662,American College of Chest Physicians,chest,Synthetic response of stimulated respiratory epithelium: modulation by prednisolone and iKK2 inhibition,2383.94
36,3574980,American Physiological Society,journal of neurophysiology,Reliable evaluation of the quantal determinants of synaptic efficacy using Bayesian analysis,1276.08
37,3680818,American Physiological Society,journal of neurophysiology,"Responses of single corticospinal neurons to intracortical stimulation of primary motor and premotor cortex in the anesthetized macaque monkey"" (JN-01080-2012R1)",1291.02
38,3602834,American Physiological Society,journal of neurophysiology,Interaction of temporal and ordinal representations in movement sequences,1319.17
39,3234094,American Physiological Society,journal of neurophysiology,Endogenous modulation of low frequency oscillations by temporal expectations,1514.35
40,3653044,American Physiological Society,journal of neurophysiology,The effect of contextual cues on the encoding of motor memories,1551.61
41,3472478,American Physiological Society,journal of physiology,Bimodal collagen fibril diameter distributions direct age-related variations in tendon resilience and resistance to rupture,1314.58
42,23576705/3727040,American Physiological Society,journal of neurophysiology,Integration of Texture and Disparity Cue to Surface Slant in Dorsal Visual Cortex,1276.6
